Fransızca;Türkçe
autobiographie; otobiyografi 
autocratie; otokrasi 
automatisation; otomasyon 
autorité; otorite 
pouvoir autoritaire; otorite gücü 
autoritaire; otoriter 
personnalité autoritaire; otoriter kişilik 
populisme autoritaire; otoriter popülizm 
autoritarisme; otoriteryanizm 
comportement électoral; oy kullanma davranışı
théorie des jeux; oyun kuramı
difficultés d'apprentissage; öğrenme güçlükleri
théorie de l'apprentissage; öğrenme kuramı
eugénisme; öjenik
mesure; ölçüm
erreur de mesure; ölçüm hatası
niveaux de mesure; ölçüm seviyeleri
taux de mortalité; ölüm oranı
taux de mortalité; ölümlülük oranı
espérance de vie; ömür beklentisi
effet de primauté; öncelik etkisi
préjugé; önyargı
organisation; örgüt organizasyon
organisation homme; örgüt organizasyon insanı
organisation de l'homme; örgüt organizasyon kuramı
culture organisationnelle; örgüt organizasyon kültürü
crime syndiqué; örgütlü suç
capitalisme désorganisé; örgütsüzleşmiş kapitalizm
cas; örnek vaka
enquête par sondage; örneklem anketi
biais de sélection de l'échantillon; örneklem seçiminde yanlılık
cadre d'échantillonnage; örnekleme çerçevesi
erreur non due à l'échantillonnage; örneklememe hatası
étude de cas; örnekolay vaka incelemesi
observation secrète; örtük gözlem
variables de modèle; örüntü değişkenleri
orientation vers les autres; öteki-yönelimlilik
perception de soi; özalgı
essentialisme; özcülük
privatisme; özel hayata çekilme
privatisation; özelleştirme
trait de caractère; özellik
autonomie; özerklik 
conscience de soi; özfarkındalık
valeur propre; özgül değer
libre arbitre; özgür irade
conception de soi; özkavrayış
intersubjectivité; öznelerarasılık
subjectivité; öznellik
concepts essentiellement contestés; özünde ihtilaflı kavramlar
handicap; özürlülük
autogestion; özyönetim
panoptique; panoptikon
cash nexus; para bağı
paradigme; paradigma
cousin parallèle; paralel kuzen
descente parallèle; paralel soy
statistiques paramétriques; parametrik istatistik
statistiques non paramétriques; parametrik olmayan istatistik
réactions paranoïaques; paranoid tepkiler
paranoïa; paranoya
bracketing; paranteze alma
principe de Pareto; Pareto ilkesi
amélioration de Pareto; Pareto iyileştirmesi
optimalité de Pareto; Pareto optimumu
loi de Parkinson; Parkinson yasası
gouvernement parlementaire; parlamenter yönetim
accord partisan; partizanlıktan sapma
groupe paria; parya grubu
résistance passive; pasif direniş
thèse du travailleur passif; pasif işçi tezi
pathologie; patoloji
patrimonialisme; patrimonyalizm
relation client-patron; patronklient ilişkisi
coefficient de Pearson; Pearson katsayısı
pédagogie; pedagoji
gestion personnelle; personel yönetimi
culture de rente; peşin satılık ürün
production de cultures de rente; peşin satış amaçlı üretim
courbe de Phillips; Phillips eğrisi
étude pilote; pilot inceleme
marché; piyasa
étude de marché; piyasa araştırması
économie de marché; piyasa ekonomisi
situation du marché; piyasa konumu
socialisme de marché; piyasa sosyalizmi
économie planifiée; planlı ekonomi
plantations; plantasyonlar
placebo; plasebo
épistémologique; pluralism
distribution de Poisson; Poisson dağılımı
recherche sur les politiques; politika araştırması
pop sociologie; pop sosyoloji
culture populaire; popüler kültür
populisme; popülizm
post-industrialisme; post-endüstriyalizm
post-fordisme; post-Fordizm
postmodernisme; postmodernizm
post-structuralisme; post-yapısalcılık
potlatch; potlaç
discrimination positive; pozitif ayrımcılık
corrélation positive; pozitif korelasyon
renforcement positif; pozitif pekiştirme
criminologie positiviste; pozitivist kriminoloji
positivisme; pozitivizm
pragmatisme; pragmatizm
praxis; praksis
famille malheureuse; problem aile
problématique; problematik
professionnalisme; profesyonalizm
professionnalisation; profesyonelleşme
prolétariat; proletarya
dictature du prolétariat; proletarya diktatörlüğü
prolétarisation; proleterleşme
autodestruction; prophecy kendi kendini yok eden kehanet
justice procédurale; prosedür adaleti
thèse protestante; Protestan etiği tezi
psychanalyse; psikanaliz
psychiatrie; psikiyatri
psychologie; psikoloji
psychométrie; psikometri
psy-complexe; psi-kompleksi
psychopathe; psikopat
maladie psychosomatique; psikosomatik hastalık
psychohistoire; psikotarih
psychothérapie; psikoterapi
psyché; psişe
évaluation; puanlama
échelle d'évaluation; puanlama ölçekleri
purdah; purdah 
criminologie radicale; radikal kriminoloji
socialisme réel; reel sosyalizm
État-providence; refah devleti
droits sociaux; refah haklan
prestations d'aide sociale; refah hizmetleri
biens sociaux; refah malları
programme d'aide sociale; refah programı
sociologie de l'aide sociale; refah sosyolojisi
analyse de régression; regresyon analizi
travail forcé; rehinli emek
acéphale; reissiz topluluklar
concours; rekabet
concours mobilité; rekabetçi mobilite
statistiques officielles; resmi istatistikler
union consensuelle; resmi olmayan evlilik
contrôles sociaux informels; resmi olmayan toplumsal denetimler
région de rejet; ret alanı
conformité; rıza
types de conformité; rıza biçimleri
société du risque; risk toplumu
modèle de danger; riziko modeli
rôle; rol
contrainte de rôle; rol gerilimi
rôle d'embrasement; rol kabulü
théorie des rôles; rol kuramı
modèle de rôle; rol mesafesi
modèle de rôle; rol modeli
rôle de l'homme; rol üstlenme
clergé; ruhban sınıfı
travail de rêve; rüya çalışması
récidiviste; sabıkalı
récidive; sabıkalının yeniden suç işleme eğilimi
question à choix fixe; sabit seçenekli soru
système d'information sur la santé; sağlık bakım kuruluşu
système de santé; sağlık bakım sistemi
sociologie de la santé et de la maladie; sağlık ve hastalık sosyolojisi
comportements liés à la santé; sağlıkla ilintili davranışlar
authenticité; sahicilik 
relations d'évitement; sakınımlı ilişkiler 
l'agression; saldırganlık
Proposition d'approbation de l'agression; Saldırganlık-Onaylama Önermesi
Révolution industrielle; Sanayi Devrimi
capitalisme industriel; sanayi kapitalizmi
secteur industriel; sanayi sektörü
société industrielle; sanayi toplumu
industrialisme; sanayicilik endüstriyalizm
industrialisation; sanayileşme
désindustrialisation; sanayisizleşme
société post-industrielle; sanayi-sonrası toplum
amplification de la déviance; sapkınlığın çoğalması
neutralisation de la déviance; sapkınlığın etkisizleştirilmesi
désaveu de la déviance; sapkınlığın inkârı
déviance; sapkınlık
sous-culture de la déviance; sapkınlık altkültürü
désignations; sapma
guerre; savaş
mécanismes de défense; savunma mekanizmaları
recherche sur la défense des droits; savunucu araştırma 
recensement; sayım nüfus sayımı
contrôle de la qualité du recensement; sayım kalitesi kontrolü
enquête post-dénombrement; sayım sonrası anket araştırması
affinité élective; seçici yakınlık
effets de sélection; seçim etkileri
économie de libre-service; self-servis ekonomisi
sémantique; semantik anlambilim
réduction sémantique; semantik anlamsal indirgeme
symbole; sembol
syndicat; sendika
conscience syndicale; sendikal bilinç
syncrétisme; senkretizm
décarcération; serbest bırakma
libre association; serbest çağrışım
libre marché; serbest piyasa
monogamie en série; seri monogami
capital; sermaye
accumulation de capital; sermaye birikimi
production à forte intensité de capital; sermaye yoğun üretim
décomposition du capital; sermayenin ayrışması
composition organique du capital; sermayenin organik bileşimi
servage; sertlik
hypothèse nulle; sıfır hipotezi
jeux à somme non nulle; sıfır toplamlı olmayan oyunlar
jeux à somme nulle; sıfır toplamlı oyunlar
distribution de fréquences; sıklık dağılımı
polygone de fréquence; sıklık poligonu
classe; sınıf
conscience de classe; sınıf bilinci
intérêt pour la classe; sınıf çıkarı
classe d'âge; sınıf farkındalığı
classe d'âge; sınıf kültürü
classe d'images; sınıf tahayyülü
classification; sınıflandırma
classification - regroupement; sınıflandırma kümeleme
position de la classe; sınıfsal konum
classification de la classe; sınıfsal sapma
entretien de la frontière; sınır sürdürümü
débat sur les frontières; sınır tartışması
rationalité limitée; sınırlı akılsallık
codes d'expression restreints; sınırlı konuşma kodları
échelle ordinale; sırasal ölçekler
sib; sib
cybersociété; siber toplum
cybernétique; sibernetik
hiérarchie cybernétique; sibernetik hiyerarşisi
contrôle des armes; silah denetimi 
désarmement; silahsızlanma
famille symétrique; simetrik aile
théorie des systèmes; sistemler kuramı
situs; situs
religion civile; sivil din
désobéissance civile; sivil itaatsizlik
société civile; sivil toplum
comportement politique; siyasal davranış
économie politique; siyasal iktisat
culture politique; siyasal kültür
parti politique; siyasal parti
crime politique; siyasal suç
socialisation politique; siyasal toplumsallaşma
science politique; siyaset bilimi
sociologie politique; siyaset sosyolojisi
primitif; society ilkel toplum
diables folkloriques; sokak şeytanları
stade des opérations concrètes; somut işlemler aşaması
erreur de concrétude mal placée; somutluğun kaybedilmesi yanlışı
anthropologie sociale; sosyal antropoloji
philosophie des sciences sociales; sosyal bilim felsefesi
Darwinisme social; Sosyal Darwincilik
comportement social; sosyal davranışçılık
sécurité sociale; sosyal güvence
travail social; sosyal hizmet
capital social; sosyal sermaye
socialisme; sosyalizm
sociobiologie; sosyo-biyoloji
statut socio-économique; sosyo-ekonomik statü
sociologie; sosyoloji
sociologie de l'environnement ; sosyolojik hukuk bilimi
sociologie de l'imagination; sosyolojik imgelem
sociomatrice; sosyomatris
sociométrie; sosyometri
descendance; soy
groupes d'ascendance; soy grupları
métissage; soy karışımı
théorie de la descendance; soy kuramı
consanguinité; soydaşlık
génocide; soykırım
généalogie; soykütüğü
empirisme abstrait; soyutlanmış ampirizm
colonialisme; sömürgecilik
exploitation; sömürü
discours; söylem
analyse du discours; söylem
formation discursive; söylem oluşumu
parole; söz
contractualisme; sözleşmecilik
contrat de travail; sözleşmeli emek
communication non verbale; sözlü olmayan iletişim
histoire orale; sözlü tarih
stagflation; stagflasyon
Stalinisme; Stalinizm
travail non conventionnel; standart olmayan istihdam
travailleur atypique; standart olmayan işçi
Stabilisation de l'emploi; standart sapma
test d'intelligence de Stanford-Binet; Stanford-Binet Zekâ Testi
statut; statü
cristallisation du statut; statü berraklaşması
groupe d'appartenance; statü grubu
statut cérémonie de dégradation; statü kaybettirme
statut ensemble; statü kümesi
statut de frustration; statü tıkanması
théorie de la valeur du statut; statü-değeri kuramı
stéréotype; steıeotip
stéréotype; stereotipleştirme
stress; stres
crime; suç
indice de criminalité; suç endeksi
statistiques criminelles; suç istatistikleri
taux de criminalité; suç oranı
dérive délinquante; suça sürüklenme
criminalité; suçluluk
prévention du crime; suçu önleme
surmoi; superego
variable continue; sürekli değişken
pilarisation; sütunlaştırma
relations de plaisanterie; şaka kaldıran ilişkiler 
chamanisme; şamanizm
ville; şehir
ville intérieure; şehir merkezindeki yoksul bölgeleri
sociologie de la ville; şehir sosyolojisi
glose; şerh koyma
société; şirket
société de l'information; şirket kapitalizmi
criminalité d'entreprise; şirket suçu
échantillon stratifié; tabakalandırılmış örneklem
stratification; tabakalaşma
système de valeurs subordonné; tabi değer sistemi
présentation sous forme de tableau; tablo sunumu
tabou; tabu
domination; tahakküm
estimation; tahmin
conséquences imprévues; tahmin edilmeyen sonuçlar
socialisation anticipée; tahmini toplumsallaşma 
revenu discrétionnaire; takdiri gelir
para-religion; taklit din
taxonomie; taksonomi
groupes secondaires; tali gruplar
"système du ""juste à temps"; tam zamanında sistemi
hypothèse de complémentarité; tamamlayıcılık hipotezi
définition; tanım
démonstration expérience; tanıtım deneyi
théisme; tanrıcılık
instruments de dépistage; tarama araçları
agriculture; tarım
agro-industrie; tarım işletmesi
capitalisme agraire; tarım kapitalizmi
sociologie de l'agriculture; tarım sosyolojisi
sociétés agraires; tarım toplumları
agrarianisme; tarımcılık
histoire; tarih
démographie historique; tarihsel demografı
matérialisme historique; tarihsel materyalizm
sociologie historique; tarihsel sosyoloji
historicisme; tarihsicilik
historiographie; tarihyazımı
dénomination; tarikat
taylorisme; Taylorizm
classes dangereuses; tehlikeli sınıflar
analyse univariée; tek değişkenli analiz
monopole; tekel
monogamie; tekelci kapitalizm
monogamie; tekeşlilik
technicisme; teknikçilik
technocratie; teknokrasi
technologie; teknoloji
déterminisme technologique; teknolojik determinizm
société technologique; teknolojik toplum
technostructure; tekno-yapı
monothéisme; tektanrıcılık
éducation compensatoire; telafi eğitimi
télétravail; tele-çalışma
téléologie; teleoloji erekbilim
base; temel
analyse des composantes principales; temel bileşenler analizi
représentation; temsil
représentation; temsil edicilik/temsililik
échantillon représentatif; temsili örneklem
bidonvilles; teneke evler
théodicée; teodise
théologie; teoloji tanrıbilim/ilahiyat
mode; tepe değer
formation de réaction ; tepki oluşumu
dépression réactive ; tepkisel depresyon
éducation; terbiye 
théorie des préférences; tercih kuramı
dysfonctionnemental; ters işlevsel
corrélation inverse; ters korelasyon
échantillon aléatoire; tesadüfi örneklem
erreur d'échantillonnage aléatoire ; tesadüfi örnekleme hatası
Association de mots; Test Sözcük Çağrışımı Testi
paiements incitatifs; teşvik ödemeleri
modèle médical; tıbbi model
sociologie médicale; tıbbi sosyoloji
médicalisation; tıbbileşme
sociologie de la médecine; tıp sosyolojisi
cycle commercial; ticari çevrim
caractérisation, qualification; tipleştirme
typologie; tipoloji
arbre additif; toplamsal ağaç
clustering additif à chevauchement; toplamsal geçişmeli kümeleme
négociation collective; toplu pazarlık
Gesellschaft; toplum
société; toplum
images de la société; toplum imgeleri
théorie sociale; toplum kuramı
désocialisation; toplumdan soyutlanma
justice sociale; toplumsal adalet
réseau social; toplumsal ağ
acteur social; toplumsal aktör
analyse de l'espace social; toplumsal alan analizi
conflit social; toplumsal çatışma
changement social; toplumsal değişim
équilibre social; toplumsal denge
analyse de l'espace social; toplumsal dünya perspektifi
acte social; toplumsal edim
intégration sociale; toplumsal entegrasyon
égalité sociale; toplumsal eşitlik
interaction sociale; toplumsal etkileşim
évolution sociale; toplumsal evrim
action sociale; toplumsal eylem
théorie de l'action sociale; toplumsal eylem kuramı
différenciation sociale; toplumsal farklılaşma
formation sociale; toplumsal formasyon
mouvements sociaux; toplumsal hareketler
administration sociale; toplumsal idare
statistiques sociales; toplumsal istatistik
fermeture sociale; toplumsal kapanma
catégories sociales; toplumsal kategoriler
Théorie de l'identité sociale; Toplumsal Kimlik Kuramı
consensus social; toplumsal konsensüs
distance sociale; toplumsal mesafe
échange social; toplumsal mübadele
fait social; toplumsal olgu
organisation sociale; toplumsal örgütlenme
pathologie sociale; toplumsal patoloji
politique sociale; toplumsal politika
protestation sociale; toplumsal protesto
rôle social; toplumsal rol
classe sociale; toplumsal sınıf
problèmes sociaux; toplumsal sorunlar
statique sociale; toplumsal statik
statut social; toplumsal statü
dérive sociale; toplumsal sürüklenme
prospective sociale; toplumsal tahmin
histoire sociale; toplumsal tarih
structure sociale; toplumsal yapı
sanction sociale; toplumsal yaptrrım
socialisation; toplumsallaşma
réaction sociétale; toplumun tepkisi
guerre totale; topyekûn savaş
résidus; tortular
institution totale; total kurum
totalitarisme; totalitarizm
totalitaire; totaliter
totémisine; totemizm
tautologie; totoloji
mores; töre
transsexuel; transseksüel
transvestisme; transvestilik
camembert; turta çizelgesi
graphique à secteurs; turta grafik
recherche sur les attitudes; tutum araştırması 
cohérence attitudinale; tutum tutarlılığı 
attitudes; tutumlar
parcimonieux; tutumlu
parcimonie; tutumluluk
clivages de consommation; tüketim dilimleri
secteur de la consommation; tüketim sektörleri
société de consommation; tüketim toplumu
déduction; tümdengelim
induction; tümevarım
l'incorporation; tümleşme
processus sociaux génériques; türdeş toplumsal süreçler
dérivations; türemler
effets aberrants; uç etkiler
statut atteint; ulaşılan statü
bourgeoisie nationale; ulusal burjuvazi
caractère national; ulusal karakter
division internationale du travail; uluslararası işbölümü
discrimination des stimuli; uyaran ayrımı
généralisation du stimulus; uyaran genelleştirme
Proposition de stimulus; Uyaran Önermesi
Modèles stimulus-réponse; Uyaran Yanıt modelleri
apartheid apartheid sociologie appliquée; uygulamalı sosyoloji 
technologies appropriées; uygun teknolojiler 
qualité de l'ajustement; uygunluk
personnalité conforme; uyumcu kişilik
non-conformisme; uyumcu olmama
comportement non conforme; uyumcu olmayan davranış
conformité; uyumculuk
dissonance; uyumsuzluk
drogue; uyuşturucu
toxicomanie; uyuşturucu müptelâlığı
conventionnalisme; uzlaşımcılık
cycles à ondes longues; uzun dalga çevrimleri
théorie des ondes longues; uzun dalga kuramı
étude longitudinale; uzun süreli araştırma
triade; üçlü
production; üretim
moyens de production; üretim araçları
forces de production; üretim güçleri
relations de production; üretim ilişkileri
mode de production; üretim tarzı
classe supérieure; üst sınıf
métarécit; üst-anlatı
surdétermination; üst-belirlenim
croissance exponentielle; üstel büyüme
métathéorie; üst-kuram
métathéorie croyances; üst-kuramsal inançlar
superstructure; üstyapı
utopisme; ütopyacılık
méthodes des membres; üyelerin yöntemleri
groupe de membres; üyelik grubu
travail de cas; vaka çalışması
histoire de cas; vaka kayıtları
travailleur aisé; varlıklı işçi
sociologie existentielle; varoluş sosyolojisi
existentialisme; varoluşçuluk
analyse de la variance; varyans analizi 
variation; varyasyon
compétence; vasıf
déqualification; vasıfsızlaştırma
vassalité; vassallık
archives de données; veri arşivi
banque de données; veri bankası
données; veriler
productivité; verimlilik
négociation de la productivité; verimlilik pazarlığı
paternalisme; vesayetçilik paternalizm
Cercle de Vienne; Viyana Çevresi
effet von RestorfT; von Restorff etkisi
modèle du Wisconsin; Wisconsin modeli
réseau mondial; world-wide web
aliénation; yabancılaşma
sens connotatif; yan anlam 
paralangage; yandil
non-réponse; yanıt vermeme
biais d'échantillonnage; yanlı örnekleme
biais; yanlılık
mobilisation of bias; yanlılık mobilizasyonu
fausse conscience; yanlış bilinç
falsification; yanlışlama
falsifîcationisme; yanlışlamacılık
projection; yansıtma
tests projectifs; yansıtma testleri
variables fictives; yapay değişkenler
déconstruction; yapıçözüm
structuration; yapılaştırma
artefact; yapıntı 
équations structurelles; yapısal denklemler
fonctionnements structuraux; yapısal işlevselcilik
chômage structurel; yapısal işsizlik
mobilité structurelle; yapısal mobilite
mobilité non structurelle; yapısal olmayan mobilite
ajustement structurel; yapısal uyum
déisme; yaradancılık
semi-périphérie; yarı-periferi
semi-prolétariat; yarı-proletarya
semi-colonialisme; yarı-sömürgecilik
ségrégation de jure; yasal ayrım
test d'éboulis; yassı çakıl testi
âgisme,age discrimination, agism; yaş ayrımcılığı
groupe d'âge; yaş grupları
classes d'âge; yaş katmanları
stratification de l'âge; yaş tabakalaşması
cycle de vie; yaşam çevrimi
monde de la vie; yaşam dünyası
étapes de la vie; yaşam evreleri
statistiques vitales; yaşam istatistikleri
qualité de vie; yaşam kalitesi
événement de vie; yaşam olayı
histoire de la vie; yaşam öyküsü
parcours de vie; yaşam seyri
chances de vie; yaşam şansları
tableau de vie; yaşam tablosu
style de vie; yaşam tarzı
examen de la vie; yaşamı hatırlama
vieillissement; yaşlanma
hospice; yaşlı bakımevi
intégration horizontale; yatay entegrasyon
diffusion; yayılma
diffusionisme; yayılmacılık
pouvoir diffus; yayılmış güç
armée de réserve industrielle; yedek sanayi ordusu
nouvelles religions; yeni dinler
taux de mortalité néonatale; yeni doğan bebek ölümlülük oranı
nouvelle classe ouvrière; yeni işçi sınıfı
nouvelle classe moyenne; yeni orta sınıf
normes émergentes; yeni ortaya çıkan normlar
normes émergentes; yeni ortaya çıkan özellikler
Nouvelle droite; Yeni Sağ
nouveaux pays industrialisés; yeni sanayileşmekte olan ülkeler
nouvelle théorie de la déviance; yeni sapkınlık kuramı
nouvelle gauche; Yeni Sol
nouvelle technologie; yeni teknoloji
nouveaux mouvements sociaux; yeni toplumsal hareketler
nouvelle division internationale du travail; yeni uluslararası işbölümü
nouveau structuralisme; yeni yapısalcılık
restudy; yeniden inceleme
resocialisation; yeniden toplumsallaşma
néocolonialisme; yeni-sömürgecilik
marché du travail local; yerel emek piyasası
études sur la localité; yerellik araştırmaları
nativisme; yerlicilik
révolution verte; yeşil devrim
aptitude; yetenek 
étude de panel; yinelenen araştırmalar
puissance intensive; yoğun güç
théorie des zones concentriques; yoğunlaşma bölgeleri kuramı
densité; yoğunluk
sondage; yoklama
pauvreté; yoksulluk
culture de la pauvreté; yoksulluk kültürü
seuil de pauvreté; yoksulluk sınırı
piège de la pauvreté; yoksulluk tuzağı
privation; yoksunluk
cycle de privation; yoksunluk döngüsü
Proposition de privation et de satiété; Yoksunluk-Doygunluk Önermesi
interprétation; yorum
cercle herméneutique; yorumbilgisel döngü
herméneutique; yorumbilgisi
sociologie interprétative; yorumlayıcı sosyoloji
déplacement; yön değiştirme
thèse de la convergence; yöneşme tezi
classe dominante; yönetici sınıf
direction imbriquée; yöneticilik faaliyetlerinin iç içe geçmesi
gestion; yönetim
science de la gestion; yönetim bilimi
révolution managériale; yönetsel devrim
stratégies managériales; yönetsel stratejiler
Méthodologie; yöntem tartışması
nationalisme civique; yurttaş milliyetçiliği
citoyenneté; yurttaşlık
sublimation; yüceltme
théorie de l'attribution; yükleme kuramı 
gentry; yüksek sınıf
interaction en face à face; yüz yüze etkileşim
temps; zaman
orientation temporelle; zaman yönelimi
études sur le budget-temps; zaman-bütçe araştırmaları
études sur le temps et le mouvement; zaman-ve hareket araştırmaları
intelligence; zekâ
subnormalité mentale; zekâ geriliği
test d'intelligence; zekâ testi
compréhension tacite; zımni anlayış
connaissance tacite; zımni bilgi
ambivalence; zıtdeğerlilik
travail mental; zihinsel emek
atelier fermé; zorunlu sendikalı işyeri
domaine; zümre
Acculturation;kültürleşme
Actionnalisme;eylemcilik, hareketçilik
Actionnisme;eylemcilik
Adaptatif;uyum sağlayan, uyumlu
addiction au numérique;dijital bağımlılık
adultisme; yetişkin egemenliği, yetişkin merkezcilik
affinitaire; bağdaşık, uyumlu
Agricolité; köylülük, tarımcılık
Altérisation; değişiklik, ötekileştirme
Alternation; alternasyon
Amicalité; yakınlık
Anomie; anomi
anomien; anomi
anomique; anomik
le suicide anomique ; anomik intihar
anti-haïtianisme;haiti karşıtlığı
approche systémique;sistemik yaklaşım
archipélisation;arşipelleşme
aristocratie ouvrière;işçi aristokrasisi
assurantiel;sigortacılık, sigorta işleri
auto-réduction;otomatik azaltma, kendi kendini azaltma
autogénocide;otojenosit, oto-soykırım
autoréduction; oto-indirgeme tüketicilerin fiyatları kendi başlarına veya kendi aralarında düşürme pratiği
autoreproduction; toplumsal yeniden üretim toplumsal yapıların ve ilişkilerin, kendilerini yeniden üretme veya devam ettirme eğilimi
autrui significatif;  yakınlar bir kişinin romantik veya duygusal olarak bağlı olduğu önemli diğer kişi
Activité;Faaliyet ,Meşguliyet, aktivite, enerji, canlılık
Affinité élective;seçilmiş yakınlık
Âge;yaş, çağ, zaman, asır,kuşak,nesil
âge de la vie;hayatın evreleri, dönemler
enfance, jeunesse, âge adulte, vieillesse l’adolescence et l’âge adulte;çocukluk, gençlik, yetişkinlik, yaşlılık
être dans la fleur de l'âge la jeunesse;gençliğin baharında olmak
être dans la force de l'âge la maturité;yaşın kemale ermesi
être d'un certain âge ne plus être jeune;belli bir yaşa ermek
être d'âge à, en âge de;..yapacak yaşta olmak, … yaşına gelmek
être de l'âge de quelqu'un, de son âge avoir le même âge que quelqu'un;yaşıt olmak
être de son âge se comporter comme il convient à l'âge que l'on a;yaşının adamı olmak
être entre deux âges être à la limite de la jeunesse et de la vieillesse;orta yaş sahibi olmak
être sans âge état de celui dont rien n'indique l'âge de façon précise;yaşını göstermemek,yaşının belli olmaması
Avancer en âge vieillir;saçları ağarmak
Bel âge jeunesse;deli dolu zamanlar
D'âge en âge; nesilden nesile
Agrégation; yığışma,birikim,küme
Agriculture; Tarım, ziraat
Secteur agricole;tarımcılık
Economie mondiale;küresel ekonomi
Alimentation;yetiştiricilik 
Environnement;çevre 
Vie Collective; kolektif yaşam
Agricole commune; ortak tarım
Ajustement;ayarlama, ayar, intibak, halletme, tashih, uydurma, alıştırma, adaptasyon
Alimentation;erzak, beslenme, besin, besin kaynağı
bloc d'alimentation; dış güç kaynağı
alimentation animale; hayvan yemi, hayvan besini
alimentation de base; temel gıda
alimentation déséquilibrée; zayıf beslenme
alimentation en contin;  sürekli beslenme
alimentation équilibrée;  düzenli beslenme
alimentation générale; market
alimentation saine; sağlıklı beslenme
sous-alimentation; yetersiz beslenme
trouble de l'alimentation; beslenme sorunu
Amour; aşk 
Amitié; arkadaş, partner 
Amitié particulière; eşcinsel ilişki
le contexte religieux et normatif propre à une société donnée; Belirli bir topluma özgü dini ve normatif bağlam
partenaire; partner 
reconnaissance mutuelle; tanışıklık, karşılıklı tanışma 
Le choix des partenaires; eş seçimi, partner seçimi
Analyse des correspondances , analyse factorielle , analyse factorielle des correspondances; faktör analizi
 Analyse des correspondances multiples ;çoklu uygunluk analizi
Analyse en composantes principales ;temel bileşen analizi
Analyse géométrique des données AGD ;geometrik veri analizi
Anticipation; bekleme, umma, beklenti, sezme, öngörü, sezinleme, tahmin etme
film d'anticipation; bilim kurgu filmi
livre d'anticipation ;bilim kurgu kitabı
par anticipation; önceden, peşinen
Anticipation rationnelle; rasyonel beklentiler
Abstention; sakınma, çekinme, çekimser oy, imtina, kaçınma, uzak durma, vazgeçme
acteur agent; faktör, 
sujet ;özne, konu, 
acteur-réseau;aktör, fail, katılımcı,taraf, edimci, numaracı
action l’action humaine non réflexe ;çalışma, davranış, aksiyon, eylem, faaliyet, fiil, etkime, nüfuz
Action Collective ;toplu eylem
Action individuelle ; bireysel eylem
Action publique ;kamu eylemi
Ascétisme; çilecilik, kişisel zevklerden arınma
 Attitude d’auto-restriction; kendi kendini kısıtlayan davranışlarda bulunma
Hédonisme;hedonizm
Attitude; tavır, yaklaşım
Auto-analyse; oto-analiz
Auto-socioanalyse; oto-sosyo-analiz
Autonomie; özerklik, bağımsızlık, otonomi
Autonomie relative ; Nispeten bağımsızlık
Hétéronomie; Dışa bağımlılık 
En toute autonomie ; tam bağımsızlık
Gagner en autonomie ; bağımsızlığını kazanmak
Perte d'autonomie; bağımsızlığını kaybetmek
Travail en autonomie ; bağımsız çalışma
Travailler en autonomie ; bağımsız olarak çalışmak
Autorité; yetki, otorite, bilirkişi, hak, uzman, nüfuz, şahit, mercii
Babyboom; doğum oranındaki ani artış
bas peuple ; alt sınıf, alt tabaka
biais de désirabilité sociale; toplumsal cazibe yanlılığı
bigame; iki eşlilik
blanc; beyaz ırka mensup kimse, beyaz insan
blanchité; beyazlık, beyaz üstünlüğü
bobby-soxer; ergen kız çocuğu
body positivisme; beden olumlama
bonding; bağ kurma, bağlama, birleştirme
bonne société; orta sınıf
bourgeoisie classe sociale; burjuva sınıfı
brassage; insanların birlikte vakit geçirerek temas kurması
bretonnisation; britanyaylılaşma
bridging; bağlama, köprü kurma
barrière à l’entrée ;bariyer
beau un plaisir esthétique, une construction sociale; güzel, iyi
bien symbolique ;sembolik mal, sembolik mülkiyet
biographie; biyografi
 Biographique; biyografik
bonheur un état de bien-être individuel; mutluluk, neşe
bureaucratie; bürokratik
sociologie de la famille ;aile sosyolojisi
État rationnel ;akılcı devlet
théorie du choix rationnel ;akılcı seçim kuramı
rationalisation ;akılcılaşma rasyonalizasyon
privation transmise ;aktarılmış yoksunluk
enquête ;anket araştırması
unité d'enquête ;araştırma birimi
conception de la recherche ;araştırma tasarımı
méthodes de recherche ;araştırma yöntemleri
catégories ou intervalles successifs ;ardışık kategoriler ya da aralıklar
surplus drain ;artık çekme
sous-classe ;aşağı sınıf
effet de ruissellement ;aşağıya damlama etkisi
banlieue ;banliyölülük
groupes de pression ;baskı grupları
auto ;benlik
autodiscipline ;benlik ifşaatı
sociologie des sciences ;bilim sosyolojisi
inconscient ;bilinçdışı
acte unitaire ;birim edim
groupes de travail ;çalışma grupları
questionnaire structuré ;çerçevesi belirlenmiş anket
entretien structuré ;çerçevesi belirlenmiş görüşme
groupes d'intérêt ;çıkar grupları
technique de la grille de répertoire répertoire ;çizelgesi tekniği
orientation solidaire du travail;dayanışmacı çalışma yönelimi
valeur ;değer
répondant ;denek
règles de correspondance ;denklik kuralları
classement ;derecelendirme
échelles de classement ;derecelendirme ölçekleri
mobilité parrainée ;destekli mobilite
État ;devlet
socialisme d'État ;devlet sosyalizmi
révolution ;devrim
clustering rectangulaire ;dikdörtgen kümeleme
marché du travail segmenté;dilimlenmiş emek piyasaları
sociologie de la religion ;din sosyolojisi
nationalismes religieux ;dinsel milliyetçilikler
innovation religieuse ;dinsel yenilik
vérificationisme ;doğrulamacılık
