Fransızca;Türkçe
ordre social ;toplumsal düzen
organisation;organizasyon,örgüt
organisation carcérale; hapsetme kurumu
organisation de la société civile;sivil toplum kuruluşu
organisation de l'espace ; organizasyon menzili
organisation de l'homme; örgüt organizasyon kuramı
organisation formelle; formel örgütlenme
organisation sociale; toplumsal örgütlenme
organisations collectivistes; kolektivist örgütlenmeler
orientation bureaucratique du travail;bürokratik çalışma yönelimi
orientation du travail;çalışma yönelimi 
orientation instrumentale du travail;araçsal çalışma yönelimi
orientation intérieure; iç-yönclimlilik
orientation solidaire du travail;dayanışmacı çalışma yönelimi
orientation temporelle; zaman yönelimi
orientation vers les autres; öteki-yönelimlilik
orientation vers les tâches; görev yönelimi
origine sociale;sosyal köken
ouvrier;işçi
paiements incitatifs; teşvik ödemeleri
panique morale;ahlâki panik 
panoptique; panoptikon
panthéisme; kamutanrıcılık
Paquet statistique pour les sciences sociales; istatistiki Sosyal Bilimler Paketi
par anticipation; önceden, peşinen
paradigme; paradigma
paralangage; yandil
paranoïa; paranoya
para-religion; taklit din
para-suicide; intihar taklidi
parcimonie; tutumluluk
parcimonieux; tutumlu
parcours de vie; yaşam seyri
parentalité, éducation des enfants;anne-babalık, ebeveynlik
parole; söz
parti politique; siyasal parti
pastoralisme ;çobanıllar, çobanıllık
paternalisme; vesayetçilik paternalizm
paternel;babayanlı, babayanlılık
paternité;babalık
pathologie; patoloji
pathologie sociale; toplumsal patoloji
pathos métaphysique; metafiziksel pathos
patriarcat;ataerkillik 
patrilinéaire;babasoylu
patrimonialisme; patrimonyalizm
patron patronat;patron patronat
pauvreté; yoksulluk
pauvreté absolue; mutlak yoksulluk
pauvreté relative; göreli yoksulluk
paysan paysannerie;köylü peasantry
paysannerie; köylülük
pédagogie; pedagoji
pénologie ;ceza bilimi 
Pensée physiocratique; Fizyokratik Düşünce
perception;algılama 
perception de soi; özalgı
personnalité; kişilik
personnalité autoritaire; otoriter kişilik 
personnalité conforme; uyumcu kişilik
perte d’unité de la science;bilimde birlik kaybı
Perte d'autonomie; bağımsızlığını kaybetmek
perte de mémoire, rétrograde, amnésie;bellek yitimi, geriye dönük 
pertinence de la valeur; değer-ilişkisi
petite accumulation; küçük birikim
petite bourgeoise; küçük burjuvazi
petite production de marchandises; küçük meta üretimi
phase miroir dans le développement de l'enfant;ayna evresi çocuğun gelişiminde
phénoménologie; fenomenoloji
philosophie; felsefe
philosophie des sciences sociales; sosyal bilim felsefesi
phratrie; fratri
piège de la pauvreté; yoksulluk tuzağı
pilarisation; sütunlaştırma
placebo; plasebo
plan d'échantillonnage tournant ;dönüşümlü örneklem tasarımı
plantations; plantasyonlar
pluralisme;çoğulculuk 
pluralisme culturel; kültürel çoğulculuk
pluralisme méthodologique; metodolojik çoğulculuk
pluralisme, épistémologique;çoğulculuk, epistemolojik 
poids bêta;beta ağırlıkları 
poids d'échantillonnage ;örnekleme ağırlıkları
point de départ ;kalkış noktası
polarisation; kutuplaşma
politique sociologie politique;siyaset siyaset sosyolojisi
politique sociale; toplumsal politika
polyandrie;çokkocalılık 
polyandrie adelphique; grup halinde çokkocalılık
polygamie;çokeşlilik
polygone de fréquence; sıklık poligonu
polygynie;çokkarılılık 
polythéisme;çoktanrıcılık 
pop sociologie; pop sosyoloji
populaire;popüler
population; nüfus
population dépendante;bağımlı nüfus
populisme; popülizm
populisme autoritaire; otoriter popülizm 
position sociale;pozisyon sosyal
position de la classe; sınıfsal konum
positivisme; pozitivizm
positivisme logique; mantıkçı pozitivizm
post-fordisme; post-Fordizm
post-industrialisme; post-endüstriyalizm
postmodernisme; postmodernizm
post-structuralisme; post-yapısalcılık
potlatch; potlaç
pouvoir; iktidar güç
pouvoir autoritaire; otorite gücü 
pouvoir coercitif;baskıcı İktidar
pouvoir collectif; kolektif güç
pouvoir de distribution;bölüştürücü güç 
pouvoir de la communauté;cemaat iktidarı 
pouvoir de renumérotation ;ödüllendirici güç
pouvoir des référents ;gönderge iktidar
pouvoir diffus; yayılmış güç
pouvoir étendu; kapsama gücü
pouvoir normatif; normatif güç
pragmatisme; pragmatizm
pratique;uygulama
pratique restrictive ;kısıtlayıcı pratik
praxis; praksis
précarité;güvencesizlik
préjugé; önyargı
présentation sous forme de tableau; tablo sunumu
prestations d'aide sociale; refah hizmetleri
prestige ;prestij
prestige professionnel; mesleki prestij
prévention du crime; suçu önleme
primitif; society ilkel toplum
principe de différence; farklılık ilkesi
principe de Pareto; Pareto ilkesi
principe de population; nüfus ilkesi
principe du moindre intérêt ;en az çıkar ilkesi
prise de décision; karar alma
privation; yoksunluk
privation absolue; mutlak yoksunluk
privation maternelle;anne yoksunluğu 
privation multiple;çoklu yoksunluk 
privation relative; göreli yoksunluk
privation transmise ;aktarılmış yoksunluk
privatisation; özelleştirme
privatisme; özel hayata çekilme
prix;fiyat
probabilité; distribution olasılık 
problématique; problematik
problème public, social;sorun kamusal, sosyal
problème de Gallon; Galton problemi
problèmes sociaux; toplumsal sorunlar
processus causal asymétrique;asimetrik nedensel süreçler
processus de civilisation; medenileşme süreci
processus de travail;iş süreci
processus sociaux génériques; türdeş toplumsal süreçler
production; üretim
production à forte intensité de capital; sermaye yoğun üretim
production de cultures de rente; peşin satış amaçlı üretim
production de machines; makine üretimi
production de marchandises simples;basit meta üretimi
production flexible; esnek üretim
productivité; verimlilik
Produit national brut; Gayri Safi
profane; dindışı
profession; işkolu, meslek
professionnalisation; profesyonelleşme
professionnalisme; profesyonalizm
profit ;kâr
programme d'aide sociale; refah programı
programme d'études; müfredat
programme d'études caché; gizli müfredat
programmes d'ordinateur;bilgisayar program paketleri 
progrès ;ilerleme
projection; yansıtma
prolétariat; proletarya
prolétarisation; proleterleşme
prophétie auto-réalisatrice ;kendi kendini gerçekleştiren kehanet
Proposition d'approbation de l'agression; Saldırganlık-Onaylama Önermesi
Proposition de privation et de satiété; Yoksunluk-Doygunluk Önermesi
Proposition de réussite;Başarı Önermesi
Proposition de stimulus; Uyaran Önermesi
Proposition de valeur; Değer Önermesi
propriété; mülkiyet
prospective sociale; toplumsal tahmin
prostitution; fahişelik
protection sociale;sosyal koruma
protestation sociale; toplumsal protesto
psephologie ;seçimbilim
psikose ;psikoz
psychanalyse; psikanaliz
psyché; psişe
psychiatrie; psikiyatri
psychohistoire; psikotarih
psychologie; psikoloji
psychologie cognitive;bilişsel psikoloji 
psychologie sociale ;sosyal psikoloji
psychométrie; psikometri
psychopathe; psikopat
psychothérapie; psikoterapi
psy-complexe; psi-kompleksi
puissance intensive; yoğun güç
pulsions; dürtüler
pulsions innées; doğuştan gelen dürtüler
purdah; purdah 
qualification ;yeterlilik 
qualité de l'ajustement; uygunluk
qualité de vie; yaşam kalitesi
Qualité de vie au travail ;Çalışma Yaşamında Kalite Hareketi
quantification;niceleme
quartier central des affaires; iş merkezi
quasi-religion ;yarı-din
question à choix fixe; sabit seçenekli soru
questionnaire;anket
Questionnaire général sur la santé; Genel Sağlık Anketi
questionnaire structuré;çerçevesi belirlenmiş anket 
quintiles; kentil
race; ırk
racialisation; ırksallaştırma
racialisme; ırk ayrımcılığı
racisme; ırkçılık
raison instrumentale;araçsal akıl 
rapport de cotes; ihtimal oranı
rapport de forces;güç dengesi
rapport noir ;Black Raporu 
rationalisation;akılcılaşma , rasyonalizasyon
rationalité;rasyonellik
rationalité fonctionnelle;akılsallık, işlevsel
rationalité formelle;biçimsel akılsallık 
rationalité limitée; sınırlı akılsallık
rationalité substantive; içeriksel akılsallık
rationalité, action rationnelle;akılsallık rasyonalite, akılcı eylem 
rationalité, formelle;akılsallık, biçimsel 
rationalité, substantive;akılsallık, içeriksel 
réaction sociétale; toplumun tepkisi
réactions paranoïaques; paranoid tepkiler
réalisation;başarı 
réalisation de soi ;kendini gerçekleştirme
réalisme; gerçekçilik
rébellion; isyan
recensement; sayım nüfus sayımı
recherche documentaire;belgesel araştırma 
recherche par enquête sociale;anket araştırması, toplumsal anket araştırması 
recherche sur la défense des droits; savunucu araştırma 
recherche sur le terrain;alan çalışması 
recherche sur les attitudes; tutum araştırması 
recherche sur les politiques; politika araştırması
recherche sur l'évaluation; değerlendirme araştırması
recherche-action; eylem araştırması
récidive; sabıkalının yeniden suç işleme eğilimi
récidiviste; sabıkalı
réciprocité;mütekabiliyet
réduction biologique, biologisme;biyolojik indirgemecilik, biyoloJizm 
réduction explicative;açıklayıcı indirgeme 
réduction logique; mantıksal indirgeme
réduction sémantique; semantik anlamsal indirgeme
réductionnisme ;indirgemecilik
réflexivité;düşünümsellik
regard;bakış 
région de rejet; ret alanı
règles de correspondance ;denklik kuralları
règles de ressenti; duygu kuralları
régression;regresyon
régression linéaire; doğrusal regresyon
régression linéaire bivariée; iki değişkenli doğrusal regresyon
régression linéaire multiple;çoklu doğrusal regresyon 
régression logistique multinationale ;çokuluslu lojistik regresyon 
régression logistique ou logit; lojistik ya da logit regresyon
régularité;düzenlilik
relation client-patron; patron-müşteri ilişkisi
relation curviligne; eğrisel ilişki
relations interpersonnelles, structurelles, statistiques;ilişkiler kişiler arası, yapısal, istatistiksel
relations de plaisanterie; şaka kaldıran ilişkiler 
relations de production; üretim ilişkileri
relations de travail; işçi-işveren ilişkileri
relations d'évitement; sakınımlı ilişkiler 
relations industrielles; endüstriyel ilişkiler
relations professionnelles industrielles;profesyonel i̇li̇şki̇ler endüstri̇yel
relativisme; görecilik
relativisme culturel; kültürel görecilik
religion; din
religion civile; sivil din
religion invisible; görünmez din
religion privée ;özel din
religiosité; dinsellik
renforcement ;pekiştirme
renforcement positif; pozitif pekiştirme
répertoire d’action Collective;eylem repertuarı Kolektif
réplication ;replikasyon
répondant ;denek
réponse conditionnée; koşullandırılmış yanıt
réponse conditionnelle; koşullu yanıt
réponse fermée; kapalı yanıt
réponse inconditionnelle ;koşullandırılmamış yanıt
réponse ouverte, question ouverte;açık yanıt, açık uçlu soru
représentation; temsil edicilik/temsililik
représentation collective; kolektif temsiller
répression;baskılanma
Reproduction;Üreme
Réseau d'information et de communication sur l'environnement RIE; Metropol İstatistiki Alanı
réseau social;sosyal ağ
réseau, théorie des réseaux;ağ, ağ kuramı 
résistance passive; pasif direniş
resocialisation; yeniden toplumsallaşma
resquilleur; hazıra konucu hazıra konma
ressource;Kaynak
restudy; yeniden inceleme
réveil religieux; dinsel canlanma
révélation de soi;benlik İfşaatı 
revenu discrétionnaire; takdiri gelir
revenu disponible; harcanabilir gelir
revenu initial;asıl gelir
revenu personnel; kişisel gelir
révolution ;devrim
Révolution industrielle; Sanayi Devrimi
révolution managériale; yönetsel devrim
révolution marginale; marjinalist devrim
révolution sociale ;toplumsal devrim
révolution verte; yeşil devrim
révolutions scientifiques;bilimsel devrimler 
richesse ;zenginlik
risque moral;ahlâki tehlike 
rite rituel;rite ritüel
rites de passage ;geçiş törenleri
rites d'initiation; kabul törenleri
rituel ;ritüel
rôle;rol
rôle conjugal; karı/koca rolü
rôle conjugal commun; ortak karı/koca rolleri
rôle de l'homme; rol üstlenme
rôle de malade; hasta rolü
rôle d'embrasement; rol kabulü
rôle social; toplumsal rol
rôles de genre rôles de sexe;cinsiyet rolleri 
rural vs. urbain, sociologie rurale vs. sociologie urbaine;kırsal kente karşı, kırsal ve kentsel sosyoloji
sacré ;kutsal
salade de mots ;lâf salatası
salaire salariat;ücretler wage-earning
salaire familial;aile ücreti 
salaire-travail ;ücretli emek
sanction ;yaptırım
sanction sociale; toplumsal yaptrrım
sanskritisation ;sanskritleştimıe
satiété; doygunluk
satisfaction ;tatminkâr
satisfaction au travail;çalışma tatmini 
satisfaction extrinsèque; dışsal tatmin
satisfaction intrinsèque; içsel tatmin
schisme ;hizipleşme
schizophrénie ;şizofreni
science;Bilim
science de la gestion; yönetim bilimi
science normale; normal bilim
science politique; siyaset bilimi
science révolutionnaire; devrimci bilim
science sociale ;sosyal bilim
Sciences de la nature; doğa bilimleri
sectarisme ;mezhepçilik
secte ;mezhep
Secteur agricole;tarımcılık
secteur de la consommation; tüketim sektörleri
secteur des services; hizmet sektörü
secteur industriel; sanayi sektörü
secteur primaire;birincil sektör 
secteur secondaire ;ikincil sektör
secteur tertiaire ;üçüncül sektör
sécularisation ;sekülerleşme
sécurité sociale; sosyal güvence
segmentation du marché du travail; emek piyasasının bölünmesi
ségrégation;ayrım 
ségrégation de fait; fiili ayrım
ségrégation de jure; yasal ayrım
ségrégation professionnelle; mesleki ayrım
sélection naturelle; doğal seçilim
Self Psychology;benlik psikolojisi 
sémantique; semantik anlambilim
semi-colonialisme; yarı-sömürgecilik
sémiologie/sémiotique; göstergebilim
semi-périphérie; yarı-periferi
semi-prolétariat; yarı-proletarya
sens connotatif; yan anlam 
sens dénotatif; düzanlam
sens, action significative;anlam, anlamlı eylem 
série chronologique; data zaman serisi verileri
servitude pour dettes;borç bağı
seuil de pauvreté; yoksulluk sınırı
sexisme;cinsiyetçilik seksizm
sexisme institutionnalisé;cinsiyetçilik, kurumsallaşmış 
sex-ratio ;cinsiyet oranı 
sexualité sexe;cinsellik 
SIDA, études sociologiques sur le SIDA;AİDS, sosyolojik AİDS araştırmaları 
signe; gösterge
signifiant; gösteren
signifié; gösterilen
situation de l'état ;statü konumu
situation du marché; piyasa konumu
situation idéale de discours; ideal konuşma söz durumu
socialisation;sosyalleşme
socialisation anticipée; tahmini toplumsallaşma 
socialisation au travail;çalışırken toplumsallaşma 
socialisation politique; siyasal toplumsallaşma
socialisation professionnelle; mesleki toplumsallaşma
socialisme; sosyalizm
socialisme bureaucratique ;bürokratik sosyalizm 
socialisme de marché; piyasa sosyalizmi
socialisme démocratique; demokratik sosyalizm
socialisme d'État ;devlet sosyalizmi
société; toplum, şirket
société asymétrique;asimetrik toplum 
société civile; sivil toplum
société d'abondance;bolluk toplumu
société de consommation; tüketim toplumu
société de l'information; enformasyon toplumu
société de masse; kitle toplumu
société d'entreprise; korporasyon toplumu
société du risque; risk toplumu
société fermée; kapalı toplum
société hydraulique; hidrolik toplum
société industrielle; sanayi toplumu
société multiculturelle;çokkültürlü toplum
société multinationale;çokuluslu şirket 
Société ouverte et société fermée;açık ve kapalı toplumlar 
société populaire; kır toplumu
société post-industrielle; sanayi-sonrası toplum
société technologique; teknolojik toplum
société traditionnelle; geleneksel toplum
sociétés agraires; tarım toplumları
Sociétés de chasseurs-cueilleurs;avcı ve yiyecek toplayıcı toplumlar 
sociétés plurielles;çoğulcu toplumlar
sociétés sans État; devletsiz toplumlar
sociétés segmentaires;bölünmüş toplumlar 
sociobiologie; sosyo-biyoloji
socio-génétique;sosyo-genetik
sociogramme ;sosyogram
sociolinguistique ;sosyo-dilbilim
sociologie; sosyoloji
sociologie clinique; klinik sosyoloji
sociologie cognitive;bilişsel sosyoloji 
sociologie comparée; karşılaştırmalı sosyoloji
sociologie de Chicago, école de Chicago;Chicago sosyolojisi, Chicago Okulu 
sociologie de la connaissance;bilgi sosyolojisi
sociologie de la connaissance scientifique;bilimsel bilgi sosyolojisi 
sociologie de la consommation ;tüketim sosyolojisi
sociologie de la famille;aile sosyolojisi 
sociologie de la formation ;yetiştirme sosyolojisi
sociologie de la médecine; tıp sosyolojisi
sociologie de la race; ırk sosyolojisi
sociologie de la religion ;din sosyolojisi
sociologie de la santé et de la maladie; sağlık ve hastalık sosyolojisi
sociologie de la science;bilim sosyolojisi 
sociologie de la vie économique ;iktisadi yaşam sosyolojisi
sociologie de la vie quotidienne; gündelik yaşam sosyolojisi
sociologie de la ville; şehir sosyolojisi
sociologie de l'agriculture; tarım sosyolojisi
sociologie de l'aide sociale; refah sosyolojisi
sociologie de l'éducation ;eğitim sosyolojisi
sociologie de l'émotion ;duygu sosyolojisi
sociologie de l'environnement;çevre sosyolojisi 
sociologie de l'imagination; sosyolojik imgelem
sociologie de l'industrie ;sanayi sosyolojisi
sociologie des médias ;medya sosyolojisi
sociologie des sciences ;bilim sosyolojisi
sociologie du corps;beden sosyolojisi 
sociologie du développement ;gelişme sosyolojisi
sociologie du droit; hukuk sosyolojisi
sociologie du jeu; kumar sosyolojisi
Sociologie du Travail; Emek Sosyolojisi
sociologie du travail domestique ;ev işi sosyolojisi
sociologie du vieillissement ;yaşlanma sosyolojisi
sociologie existentielle; varoluş sosyolojisi
sociologie figurative; figürasyonel sosyoloji
sociologie formelle ;formel sosyoloji
sociologie historique; tarihsel sosyoloji
sociologie humaniste; hümanist sosyoloji
sociologie interprétative; yorumlayıcı sosyoloji
sociologie mathématique; matematiksel sosyoloji
sociologie médicale; tıbbi sosyoloji
sociologie phénoménologique; fenomenolojik sosyoloji
sociologie politique; siyaset sosyolojisi
sociologie réflexive ;düşünümsel sosyoloji
sociologie rurale; kır sosyolojisi
sociologie urbaine ;kent sosyolojisi 
sociologie visuelle ;görsel sosyoloji
sociomatrice; sosyomatris
sociométrie; sosyometri
soi;benlik
soins informels; gayri resmi bakım
solidarisme; dayanışmacılık
solidarité;dayanışma
solidarité mécanique; mekanik dayanışma 
solidarité organique; organik dayanışma
solidarité sociale ;toplumsal dayanışma
sondage; yoklama
sorcellerie; kara büyü
sous-alimentation; yetersiz beslenme
sous-classe ;aşağı sınıf
sous-consommation; eksik tüketim
sous-culture;alt-kültür
sous-culture de la déviance; sapkınlık altkültürü
sous-emploi ;eksik istihdam
sous-urbanisation; eksik kentleşme
spécialisation flexible; esnek uzmanlaşma
sphère privée ;özel alan
spiralisine ;sarmal terfi
Stabilisation de l'emploi; standart sapma
stabilité sociale ;toplumsal istikrar
stade des opérations concrètes; somut işlemler aşaması
stade œdipien; Oidipal aşama
stade préopérationnel; işlem öncesi evre
stade sensorimoteur; duyusal-devimsel evre
stagflation; stagflasyon
Stalinisme; Stalinizm
standardisation;standartlaştırma
statique sociale; toplumsal statik
statistiques; istatistik
statistiques criminelles; suç istatistikleri
statistiques de morbidité; hastalığa yakalanma istatistikleri
statistiques descriptives;betimleyici istatistik 
statistiques inférentielles;çıkarımsal istatistik 
statistiques morales;ahlâki istatistikler 
statistiques non paramétriques; parametrik olmayan istatistik
statistiques officielles; resmi istatistikler
statistiques paramétriques; parametrik istatistik
statistiques sociales; toplumsal istatistik
statistiques vitales; yaşam istatistikleri
statut; statü
statut atteint; ulaşılan statü
statut attribué;atfedilen statü 
statut cérémonie de dégradation; statü kaybettirme
statut de frustration; statü tıkanması
statut de l'emploi; istihdam statüsü
statut de maître;ana statü 
statut ensemble; statü kümesi
statut social; toplumsal statü
statut socio-économique; sosyo-ekonomik statü
stéréotype; stereotipleştirme
stéréotypes sociaux de genre stéréotypes de genre;cinsiyet toplumsal stereotipleri 
stigmate; damga
stigmatisation;damgalama
stimulus conditionné; koşullandırılmış uyaran
stimulus conditionnel; koşullu uyaran
stimulus inconditionnel ;koşullandırılmamış uyaran
stratégie;strateji
stratégie de reproduction ;üreme stratejisi 
stratégie de travail des ménages; hane çalışma stratejisi
stratégies des employeurs; işveren stratejileri
stratégies managériales; yönetsel stratejiler
stratification; tabakalaşma
stratification de l'âge; yaş tabakalaşması
stratification sociale;sosyal tabakalaşma
stress; stres
structuralisme ;yapısalcılık
structuration; yapılaştırma
structure ;yapı
structure de la communication; iletişim yapısı
structure des chances; fırsat yapısı
structure d'opportunités différentielles; eşitsiz fırsat yapısı
structure professionnelle; mesleki yapı
structure sociale; toplumsal yapı
style de vie;yaşam tarzı
subjectivité; öznellik
sublimation; yüceltme
subnormalité mentale; zekâ geriliği
suburbanisation;banliyöleşme suburbanization
succession écologique; ekolojik yer değiştirme
suicide; intihar
suicide altruiste; diğerkâmca intihar 
suicide égoïste;bencilce intihar egoistic suicide
suivi ;türdeş gruplara ayırma
sujet ;özne, konu
superstructure; üstyapı
surdétermination; üst-belirlenim
surmoi; superego
Surplus drain;artık çekme 
sur-urbanisation;aşırı kentleşme 
symbole; sembol
symboles multi-vocaux;çoksesli semboller 
synchronie ;eşzamanlılık
syncrétisme; senkretizm
syndicalisme ;sendikalizm
syndicat; sendika
synthèse ;sentez
système social;sosyal sistem
système d'allocation des ménages; hane içi kaynak dağıtımı sistemi
système de classes de Goldthorpe; Goldthorpe sınıf şeması
système de faible confiance; düşük güven sistemi
système de gestion organique; organik yönetim sistemleri
système de santé; sağlık bakım sistemi
système de valeurs dominant; egemen değer sistemi
système de valeurs subordonné; tabi değer sistemi
système d'information sur la santé;Sağlık bilgi sistemi
système d'information sur le marché du travail; işlevsel tabakalaşma kuramı
système d'usine; fabrika sistemi
système mondial ;dünya sistemi
système social ;toplumsal sistem
système sociotechnique ;sosyo-teknik sistem
systèmes de gestion mécanique; mekanik yönetim sistemleri
systèmes de production communaux; komünal üretim sistemleri
systèmes sociaux pluriels;çoğulcu toplumsal sistemler 
tableau croisé, classification croisée;çapraz tablolama, çapraz sınıflandırma 
tableau de contingence; olumsallık tablosu
tableau de sélection de Kish; Kish tablosu
tableau de vie; yaşam tablosu
tabou; tabu
tabou de l'inceste; ensest tabusu
tautologie; totoloji
taux brut de natalité; kaba doğum oranı
taux de cohorte; dilim oranları
taux de criminalité; suç oranı
taux de divorce;boşanma oranı 
taux de divorce brut; kaba boşanma oranı 
taux de fertilité; doğurganlık oranı
taux de fertilité général; genel doğurganlık oranı
taux de mortalité; ölüm oranı
taux de mortalité brut;brüt ölüm oranı
taux de mortalité infantile;bebek ölümoranı 
taux de mortalité maternelle;anne ölüm oranı
taux de mortalité néonatale; yeni doğan bebek ölüm oranı
taux de mortalité périnatale; doğum öncesi ölüm oranı
taux de mortalité standardisé ;standart ölüm oranları
taux de natalité; doğum oranı
taux de participation; katılım oranı
taux de participation à la population active; işgücüne katılma oranı
taux de période; dönem oranları
taux de réponse ;yanıt oranı
taux de reproduction ;üreme oranı
taxonomie; taksonomi
taylorisme; Taylorizm
technicisme; teknikçilik
technique de la boule de neige; kartopu tekniği
technique de la grille de répertoire répertoire ;çizelgesi tekniği
technique du shift-share; geçiş payı tekniği
techniques de neutralisation ;etkisizleştirme teknikleri
technocratie; teknokrasi
technologie; teknoloji
technologie alternative;alternatif teknoloji 
technologie de l'information; enformasyon teknolojisi
technologie intermédiaire;ara teknoloji 
technologies appropriées; uygun teknolojiler 
technologies de reproduction ;üreme teknolojileri
technostructure; tekno-yapı
téléologie; teleoloji erekbilim
télétravail;uzaktan çalışma
temps; zaman
tendance sociale ;toplumsal trend
Test d'Apperception Thématique ;Tema Kavrama Testi
test de Rorschach ;Rorschach Testi
test des moyennes; ortalama değer testi
Test des relations d'objet; Nesne İlişkileri Testi
test d'hypothèse; hipotez testi
test d'intelligence; zekâ testi
test d'intelligence de Stanford-Binet; StanfordBinet Zekâ Testi
tests projectifs; yansıtma testleri
théisme; tanrıcılık
théodicée; teodise
théologie; teoloji tanrıbilim/ilahiyat
Théorème de Thomas ;Thomas Teoremi
théorie; kuram
théorie administrative; idare kuramı
théorie classique de l'administration; klasik idare kuramı
théorie critique; eleştirel kuram
théorie culturelle; kültürel kuram
théorie de la cognition;biliş kuramı
théorie de la construction personnelle; kişisel kurgu kuramı
théorie de la contingence; olumsallık kuramı
théorie de la dépendance;bağımlılık kuramı 
théorie de la descendance; soy kuramı
théorie de la mondialisation; küreselleşme kuramı
théorie de la régulation ;düzenleme kuramı
théorie de la transmission culturelle; kültürel aktarını kuramı
théorie de la valeur du statut; statü-değeri kuramı
théorie de la valeur du travail; emek-değer kuramı
théorie de l'action; eylem kuramı
théorie de l'action rationnelle;akılcı eylem kuramı
théorie de l'action sociale; toplumsal eylem kuramı
théorie de l'apprentissage; öğrenme kuramı
théorie de l'attribution; yükleme kuramı 
théorie de l'attribution du statut ;statüyükleme kuramı
théorie de l'échange; mübadele kuramı
théorie de l'économie classique; klasik iktisat kuramı
théorie de l'élite; elit kuramı
théorie de l'équilibre; denge kuramı
théorie de l'équité; hakkaniyet kuramı
théorie de l'évolution; evrim kuramı
Théorie de l'identité sociale; Toplumsal Kimlik Kuramı
théorie des alliances; ittifak kuramı
théorie des graphes; grafik kuramı
théorie des jeux; oyun kuramı
théorie des préférences; tercih kuramı
Théorie des relations d'objet; Nesne İlişkileri Kuramı
théorie des rôles; rol kuramı
théorie des systèmes; sistemler kuramı
théorie des systèmes familiaux;aile sistemleri kuramı 
théorie des systèmes mondiaux ;dünya sistemleri kuramı
théorie des systèmes rationnels, perspective des systèmes rationnels;akılcı sistemler kuramı, akılcı sistemler perspektifi 
théorie des zones concentriques; yoğunlaşma bölgeleri kuramı
théorie du capital humain; insan sermayesi kuramı
théorie du champ;alan kuramı 
théorie du choix rationnel;akılcı seçim kuramı 
théorie du conflit;çatışma kuramı 
théorie du secteur informel; informel sektör kuramları
théorie empirique;ampirik temele dayalı kuram 
théorie normative; normatif kuram
théorie sociale; toplum kuramı
théorie sociologique;sosyoloji̇k teori̇
théorie volontariste de l'action; iradeci eylem kuramı
théories du champ interactionnel; etkileşimsel alan kuramları
thérapie comportementale; davranış terapisi
thérapie d'aversion; kaçınma terapisi 
thérapie de groupe; grup terapisi
thérapie familiale;aile terapisi 
thèse du travailleur passif; pasif işçi tezi
thèse sur la relativité linguistique; dilbilimsel görelilik tezi
Tiers-Monde ;Üçüncü Dünya
tolérance zéro ;sıfır tolerans
total marginal; marjinal toplamlar
totalitaire; totaliter
totalitarisme; totalitarizm
totémisine; totemizm
toxicomanie; uyuşturucu müptelâlığı
tradition; gelenek
traditionalisme économique; iktisadi gelenekselcilik
trait de caractère; özellik
trait d'organisation central;belirleyici ana özellik 
trajectoire travail;iş yörüngesi
transcarcération ;hapsetme kurumları arasında nakletme
transcendantalisme;aşkıncılık 
transhumance ;sürü göçü
transinstitutionnalisation ;kurumlar arasında gidip gelme
transition démographique; demografik geçiş
transsexuel; transseksüel
transvestisme; transvestilik
travail;iş, emek
travail à domicile; dışarıda çalışma
travail collectif; kolektif emek
travail de cas; vaka çalışması
travail de groupe; grup çalışması
travail de rêve; rüya çalışması
travail domestique; ev işi
travail émotionnel; duygusal emek
Travail en autonomie ; bağımsız çalışma
travail flexible; esnek çalışma
travail forcé;Zorla çalıştırma
travail mental; zihinsel çalışma
travail non conventionnel; standart olmayan istihdam
travail ouvrier; mavi yakalı iş
travail reproductif ;yeniden üretici emek
travail social; sosyal hizmet
travails à domicile; evde çalışmak
Travailler en autonomie ; bağımsız olarak çalışmak
travailleur aisé; varlıklı işçi
travailleur atypique; standart olmayan işçi
travailleur salarié déguisé; gizli ücretli işçiler
triade; üçlü
triangulation ;nirengi üçgenleme
tribalisme; kabilecilik
tribu ;kabile
trouble de l'alimentation;beslenme sorunu
type d'idéal; ideal tip
types de conformité; rıza biçimleri
typologie; tipoloji
union consensuelle; resmi olmayan evlilik
unité d'analyse;analiz birimi 
unité d'enquête;araştırma birimi 
universalité de l'évolution; evrimsel evrenseller
urbanisme; kentlilik
utilitarisme; faydacılık
utilité; fayda
utopie ;ütopya
utopisme; ütopyacılık
valeur ;değer
valeur d'échange; mübadele değeri
valeur d'usage ;kullanım değeri
valeur excédent;artı değer
valeur propre; özgül değer
valeur-liberté; değer-özgürlüğü
valeur-neutralité; değer-tarafsızlığı
validité; geçerlilik
variable; değişken
variable catégorielle; kategorik değişken
variable continue; sürekli değişken
variable dépendante;bağımlı değişken 
variable indépendante;bağımsız değişken 
variables de modèle; örüntü değişkenleri
variables endogènes; içsel değişkenler
variables exogènes; dışsal değişkenler
variables fictives; yapay değişkenler
variables paradigme; değişkenler paradigması
variance ;varyans
variation; varyasyon
variation concomitante; eşzamanlı varyasyon
vassalité; vassallık
vérification; doğrulama
vérificationisme ;doğrulamacılık
victimologie ;kurbanbilim
Vie Collective; kolektif yaşam
vie quotidienne; gündelik yaşam
vieillissement; yaşlanma
ville; şehir
ville intérieure; şehir merkezindeki yoksul bölgeler
violence domestique; ev içi şiddet
vocabulaires de la motivation; güdüleyici sözler
volontarisme ;iradecilik
vote;oylama
zonage;bölgelere ayırma 
